"","lactate control1","lactate control2","lactate treat1","lactate treat2","pregnant control1","pregnant control2","pregnant treat1","pregnant treat2","virgin control1","virgin control2","virgin treat1","virgin treat2"
"15488",1645,1564,1259,1354,2141,2242,1732,1998,1180,1590,1741,1479
"225497",0,0,0,0,0,0,0,0,0,0,0,0
"67365",0,0,0,0,0,0,0,0,0,0,0,0
"71373",0,1,0,2,1,3,1,0,1,0,0,2
"100503876",0,0,0,0,0,0,0,0,0,0,0,0
"67634",0,0,0,0,0,0,0,0,0,0,0,0
"67222",208,170,102,104,473,440,246,227,401,381,352,437
"16948",50,37,8,12,75,159,15,27,147,23,28,115
"66758",0,0,0,0,0,0,0,0,0,0,0,0
"78414",0,0,0,0,0,0,0,0,0,0,0,0
"14625",1,1,4,12,1,1,8,8,0,7,1,0
"67847",96,106,2,4,242,207,9,7,391,20,57,387
"67804",1019,956,725,755,869,772,1078,984,1011,1089,1117,1123
"69226",75,61,1,1,109,101,3,3,148,8,12,126
"19038",992,856,20,26,1643,1374,46,37,1682,28,58,1460
"225518",0,3,0,0,1,3,0,0,2,0,1,2
"100502945",0,0,2,7,1,0,0,1,0,2,0,0
"225523",1559,1576,881,655,1268,1250,1732,1834,1182,1843,1946,1425
"70425",659,645,303,369,829,730,818,735,871,1043,1177,891
"77433",0,0,0,0,0,0,0,0,0,0,0,0
"328957",3,1,0,0,0,4,0,0,3,0,0,0
"269023",1299,1521,22,20,1144,1118,16,10,1011,174,199,935
"107022",465,432,342,344,529,468,564,581,510,861,904,454
"110695",1775,1593,728,699,1827,1795,1090,1156,1723,1322,1364,1944
"56698",613,609,104,138,825,754,435,357,804,730,685,742
"67343",1,0,0,0,0,0,0,1,0,0,0,0
"16906",377,370,402,358,1887,1245,1475,968,1697,1507,1583,1459
"320253",321,227,43,49,880,845,239,253,882,222,220,442
"100038410",5,1,5,1,1,1,4,3,0,0,2,0
"77422",187,179,47,55,161,172,41,39,107,120,121,98
"100502981",8,2,1,3,6,2,3,2,2,3,6,5
"70417",9,5,0,1,53,36,3,7,15,0,2,2
"73137",487,501,748,671,656,628,916,729,647,637,802,609
"100503007",3,6,1,0,2,5,1,1,3,0,1,6
"629147",0,0,8,2,0,0,6,0,0,0,0,0
"74916",1,2,0,0,1,1,0,0,0,0,0,0
"75444",24,11,0,1,8,24,0,2,1,0,0,0
"75084",21,19,0,0,9,13,0,0,1,0,0,2
"70157",0,0,0,0,0,1,2,4,0,0,1,0
"100503033",0,0,0,0,0,0,0,0,0,0,0,0
"20496",6171,6205,2525,2458,4557,4829,4587,6773,4301,14137,19804,4629
"100861812",0,0,0,0,0,0,0,0,0,0,0,0
"14119",168,163,4,1,454,359,33,23,1849,215,233,1584
"225579",57,34,0,0,101,76,2,0,217,0,2,157
"66307",769,673,1331,1273,1045,1041,1347,1280,1716,3218,2998,1884
"240322",0,0,0,0,0,1,0,0,5,0,2,0
"225583",0,4,0,0,1,4,0,0,8,0,0,7
"78923",18,12,1,3,64,46,7,3,54,9,43,29
"240327",23,8,247,217,13,4,42,27,13,429,640,18
"225594",23,7,10,2,56,25,4,1,34,10,4,30
"240328",15,6,65,50,31,13,21,21,18,122,69,16
"60440",780,453,1565,1063,801,584,852,468,2240,2841,4138,1590
"667597",22,22,59,23,63,30,22,22,73,41,59,89
"106878",1895,1274,103,89,5552,4584,968,964,7044,1816,2014,5047
"67665",2133,1819,885,888,3117,2698,2823,2714,2840,3078,3511,3072
"66810",1400,1308,578,567,1812,1496,1604,1402,2200,1968,1954,2436
"170947",28,12,0,0,54,30,0,0,38,8,5,55
"104027",2746,2411,178,159,5868,4836,467,543,6525,2511,2528,5842
"328963",2,5,2,3,11,5,0,0,5,1,0,10
"15531",3264,2704,3855,3804,4028,3848,5215,4941,3769,4620,5661,3570
"20044",3229,2942,2437,2526,5507,4854,6453,5354,6445,7755,8716,5419
"16149",159,59,112,35,1155,671,358,240,380,181,151,730
"100628611",0,1,0,1,4,0,0,0,1,1,0,3
"21453",634,621,515,560,1688,1168,1014,626,1207,1029,1043,1617
"545260",38,39,1,0,69,34,3,1,50,8,5,49
"12322",4,1,15,10,30,11,164,85,19,179,91,27
"240332",0,0,0,0,0,0,0,0,2,0,1,2
"12590",0,0,0,0,0,0,0,0,1,0,0,0
"18596",481,366,21,8,418,506,9,16,766,35,73,576
"12978",6,0,6,1,75,50,28,18,41,34,23,12
"106894",636,791,451,469,1271,965,1005,965,1443,1293,1561,1467
"13521",622,585,523,654,478,363,401,345,733,394,376,1126
"225600",1,1,8,3,5,4,7,5,4,2,8,1
"170826",119,120,155,232,129,147,67,79,94,79,55,116
"723889",0,0,0,1,3,2,0,0,2,0,0,2
"442846",1,0,0,0,0,2,0,0,0,0,1,0
"328967",33,18,78,47,9,16,55,72,25,100,109,21
"93687",9320,7863,3289,3216,12003,10870,8621,7943,10098,10076,10614,9392
"545261",134,116,84,84,175,141,48,41,82,60,78,80
"328968",257,251,0,4,291,262,1,0,103,11,13,116
"387163",19,19,0,0,27,30,0,0,7,3,0,6
"387161",8,5,0,0,8,3,0,0,5,0,0,0
"56069",2933,2655,4,4,5024,4970,16,6,3474,7,14,1673
"240334",84,83,45,39,84,89,75,53,160,227,201,234
"17714",166,122,205,191,414,350,1116,1145,180,974,920,167
"68982",60,60,49,45,176,107,124,161,53,244,247,53
"106877",151,147,180,120,171,135,82,85,395,262,296,436
"319713",87,112,5,13,109,89,8,15,227,38,37,165
"225608",435,524,66,68,364,365,97,125,455,200,219,675
"100861847",0,0,0,0,0,0,0,0,0,0,0,0
"11555",574,592,1483,1355,2232,1845,1223,1033,1574,469,635,1342
"225609",1,2,10,6,3,2,9,7,7,7,4,6
"15562",0,1,1,6,0,1,68,18,1,232,422,0
"107035",798,947,496,464,718,626,751,770,855,1087,1298,941
"328971",0,0,6,6,0,1,3,1,5,0,0,0
"408198",0,0,0,0,0,0,0,0,0,0,0,0
"100038417",0,0,0,0,0,0,0,0,0,0,0,0
"78449",0,1,0,0,1,3,1,1,2,0,0,3
"494504",372,394,23,23,272,331,37,32,426,69,38,553
"108123",714,657,384,399,631,642,627,566,464,749,797,511
"667742",80,83,11,9,51,26,23,10,55,2339,2658,40
"53382",1665,1382,1564,1557,2884,2311,3131,2836,2421,3548,3439,2391
"104082",887,798,495,457,702,737,529,465,671,435,465,753
"73588",0,0,0,0,0,0,0,0,0,0,0,0
"100503391",0,0,0,0,0,0,0,0,0,0,0,0
"20451",0,0,0,0,0,0,0,0,0,0,0,0
"225631",1,0,0,2,3,2,0,3,2,3,2,0
"14151",703,657,340,376,683,785,530,486,591,520,549,629
"70223",3007,2519,3840,3685,6136,4464,7422,5532,4637,4550,4977,4519
"54670",50,56,115,111,89,78,252,238,299,443,479,267
"629480",79,61,32,24,140,149,123,115,108,162,148,142
"83814",1179,1062,832,715,1345,1319,3001,3276,877,4263,5097,889
"100503467",3,1,1,0,1,2,0,3,0,0,0,0
"387231",0,0,0,0,0,0,0,0,0,0,0,0
"225638",1,3,0,0,3,10,0,0,29,0,2,36
"240354",791,699,304,367,888,766,479,464,3691,646,816,3561
"328977",1097,1147,481,522,894,988,610,731,1267,881,911,1326
"319888",11,15,17,31,76,37,45,57,146,119,120,131
"66286",340,328,2922,3027,512,469,1914,1536,385,606,668,405
"225642",0,2,1,0,2,5,0,0,7,0,0,2
"19434",2,0,0,0,1,0,0,0,1,0,0,1
"360222",0,0,1,0,0,0,0,0,0,0,0,0
"225644",1,0,0,0,0,0,0,0,0,0,0,1
"70361",1302,1332,4181,4497,1596,1542,3175,2109,2070,2449,2515,1937
"320924",5,2,13,0,1,3,1,5,9,444,690,8
"751558",0,0,0,0,0,0,0,0,0,0,0,0
"100503546",0,0,0,0,0,0,0,0,0,2,5,0
"58801",84,122,35,62,174,131,132,124,241,205,198,295
"100503565",2,0,0,0,0,0,0,0,0,0,0,0
"17202",0,0,0,0,2,2,1,0,0,0,0,0
"100503582",0,0,0,0,0,0,0,0,0,0,0,0
"14680",84,100,72,64,116,94,86,114,84,125,132,93
"67064",460,528,688,674,610,512,2447,2276,580,1602,1705,590
"225651",166,183,42,30,163,151,37,34,107,119,124,157
"114663",169,204,529,508,331,345,688,736,369,334,407,376
"338360",20,9,70,70,17,23,16,34,25,17,26,23
"12683",176,147,17555,19171,48,53,862,1256,5,98,158,11
"67951",13964,11901,2227,1874,17121,15172,6055,4807,16328,5445,7160,15208
"69597",948,954,1301,1360,1521,1256,1870,1543,1257,1464,1591,1528
"225655",11,8,1,0,28,24,0,0,41,13,34,40
"68166",640,522,67,66,610,565,234,119,586,818,759,675
"100504629",3,1,0,2,1,1,1,1,0,2,0,1
"225659",253,242,334,320,357,265,263,196,482,280,301,557
"107047",206,200,152,117,288,231,165,133,253,294,274,285
"100861930",0,0,1,0,1,0,0,0,0,0,0,0
"19255",1367,1201,636,602,2013,1889,1088,994,2203,2860,2714,2103
"72124",1657,1405,648,735,2390,1915,1750,1352,2246,2302,2311,2420
"75286",5,11,8,9,32,18,17,10,17,12,14,17
"70799",485,480,385,374,580,449,481,324,671,673,706,693
"52662",136,116,188,222,84,74,189,211,401,816,989,538
"108654",841,755,278,293,1241,1055,784,651,1132,1049,1144,1016
"67897",338,330,218,213,440,338,505,474,521,583,590,516
"17203",0,0,2,0,0,0,0,7,4,6,12,6
"17200",0,0,0,0,1,2,0,0,12,1,0,16
"78931",0,0,0,0,1,0,0,0,0,0,0,0
"100504650",0,0,0,0,0,0,0,0,0,0,0,0
"21413",1622,1889,151,129,1963,1780,358,309,2661,884,980,2229
"100504669",0,0,0,0,0,0,0,0,0,0,0,0
"381175",148,189,25,17,134,189,4,27,174,445,418,221
"80718",228,167,20,26,133,157,86,80,162,518,672,191
"75577",1,0,0,1,0,0,0,0,0,13,10,0
"269033",235,248,3,9,174,184,21,11,276,25,31,247
"170461",14,17,1,1,12,13,0,1,13,0,2,4
"26447",22,34,116,127,37,39,95,86,87,276,250,63
"17191",1838,1625,780,767,1867,1920,1214,1188,1783,1729,1889,1668
"13176",0,0,0,0,0,0,0,0,0,0,0,0
"100503674",0,0,0,0,0,0,0,0,0,0,0,0
"240396",4034,3472,783,620,5385,4585,2474,2249,6029,3587,3335,6317
"17128",1638,1566,829,690,1908,1719,2714,2082,1854,2274,2388,2158
"114615",273,291,84,124,193,184,112,113,125,116,170,204
"107029",343,299,157,122,415,410,230,137,370,272,313,432
"71263",1,1,1,0,4,9,3,1,0,0,3,0
"225724",8,9,385,459,27,8,382,388,17,92,91,36
"77855",0,3,49,45,1,0,11,14,0,1,1,0
"66468",3,5,101,85,54,23,95,54,67,99,104,79
"74322",1476,1561,1105,1209,1569,1453,2211,1972,1814,1969,2241,2229
"17190",803,793,1196,1202,1339,1413,2982,2633,1761,4005,5815,1614
"74453",19,13,57,46,23,14,23,28,30,19,29,23
"17919",24,24,494,477,64,44,851,906,90,978,967,243
"73606",0,0,0,0,0,0,1,0,0,0,0,0
"100217466",0,0,0,0,0,0,0,0,0,0,1,0
"52538",840,771,710,635,1131,1507,2007,2200,1093,1418,1811,1079
"16891",3153,2025,1504,1182,2393,2664,244,188,4261,199,165,4142
"319195",243,229,96,119,382,334,284,312,311,314,339,327
"100217457",31,22,22,8,41,59,36,34,27,37,53,55
"407819",1222,1103,989,1024,1074,977,908,806,717,994,1018,964
"69190",653,679,611,615,703,668,950,831,739,919,996,840
"100503117",44,43,4,7,30,34,7,14,16,14,21,19
"17131",1687,1344,199,172,7211,6571,2368,2764,8390,4202,4561,7412
"269037",886,734,108,100,679,656,259,195,599,359,357,663
"100038353",1,0,1,0,3,4,0,0,2,1,0,5
"207259",355,344,111,123,411,332,209,74,629,425,392,1184
"73009",3,0,1,0,2,3,0,0,2,0,0,2
"17126",1024,970,525,566,1431,1027,1175,1031,1361,1651,1706,1712
"664805",0,0,0,0,0,0,0,0,0,0,0,0
"66191",493,412,1109,1150,658,584,991,888,639,934,976,687
"76987",257,265,332,390,294,287,238,251,254,368,369,302
"71206",1,2,2,2,2,1,0,1,3,11,11,9
"17344",1204,1129,620,575,1364,1203,1321,1097,1433,1442,1526,1492
"225742",3,3,0,0,7,6,3,1,2,4,2,2
"240411",0,2,0,0,0,0,0,0,0,0,0,0
"225743",77,95,0,2,88,58,4,0,63,3,7,95
"212163",449,412,190,174,726,550,398,371,659,635,596,664
"100503152",15,15,2,7,31,6,3,14,14,12,9,23
"67640",6,3,3,1,15,11,2,2,10,2,7,10
"225745",113,104,154,127,158,144,230,195,188,262,250,183
"11946",11724,10404,15049,15049,20900,18163,19899,16639,14253,16346,18004,16418
"619308",2,3,6,5,2,0,4,11,2,6,4,7
"19201",11,15,458,532,31,20,277,306,27,203,205,60
"100502841",499,552,743,830,403,386,723,757,572,683,720,702
"620235",1,0,1,0,10,3,26,11,12,3,5,5
"108052",3,2,0,1,16,27,0,0,89,35,22,59
"27411",1,2,0,0,0,0,0,0,0,0,0,0
"240427",1562,1372,361,376,1177,1083,731,591,1360,1751,1752,971
"100861811",0,0,0,0,0,0,0,0,0,0,0,0
"100861819",0,0,0,0,0,0,0,0,0,0,0,0
"100861827",0,0,0,0,0,0,0,0,0,0,0,0
"93737",1712,1525,264,292,1719,1618,349,290,1352,215,171,1667
"240442",547,429,165,144,390,431,294,243,530,772,825,605
"100502902",0,1,0,2,4,3,5,5,3,4,3,2
"68731",157,196,107,131,191,188,298,229,164,206,235,193
"27366",3500,3132,1480,1575,5428,4671,4108,3434,4249,3968,4254,4164
"66255",7,12,24,31,12,15,31,35,37,66,60,10
"66943",5635,4547,1980,1921,9525,7544,5198,4746,12260,6409,8612,8210
"240444",9,12,0,2,9,4,3,4,17,7,12,12
"67655",461,457,173,194,888,751,807,765,903,798,887,990
"100039348",0,1,0,0,0,0,0,0,0,0,0,0
"18018",3525,2973,155,129,2739,2436,419,484,2655,565,692,3513
"50771",1516,1497,696,787,1499,1585,1565,1499,1695,1826,1963,1970
"20689",3,7,0,0,5,8,3,0,12,0,5,22
"100628596",0,0,0,0,0,0,0,0,0,0,0,0
"14427",0,0,0,0,0,0,0,0,0,0,0,0
"17196",139,91,439,403,329,372,1000,1089,458,1870,1746,386
"329002",1128,1147,398,387,974,1047,683,624,1098,1053,1145,1204
"100628586",0,1,0,0,1,1,0,0,0,0,0,0
"76961",0,0,0,0,1,0,0,0,0,0,0,0
"329003",1451,964,478,372,1842,1904,1159,1154,1059,1065,1468,814
"75853",1,1,4,2,1,0,1,2,0,0,0,0
"76995",0,0,0,0,0,0,0,0,0,0,0,0
"70960",0,0,0,0,0,0,0,0,0,0,0,0
"110796",1046,1068,168,148,1135,1033,242,215,1145,352,379,1271
"225791",585,601,216,190,719,623,252,224,673,211,251,626
"240476",461,489,400,454,591,480,628,484,510,578,640,638
"338403",0,0,0,0,0,0,0,0,0,0,0,0
"66054",524,504,1477,1408,741,586,1513,1239,547,863,814,805
"433208",0,0,0,0,0,0,0,0,0,0,0,0
"240479",0,0,0,1,0,0,0,1,0,2,1,0
"100503964",0,0,0,0,0,0,0,0,0,0,0,0
"109672",740,737,831,860,552,467,502,434,756,849,889,866
"50764",0,0,0,0,0,0,0,1,0,0,1,0
"67105",246,224,122,118,276,274,219,154,279,228,237,306
"665402",80,71,128,164,86,63,106,85,76,154,146,113
"246317",0,0,0,0,0,0,0,0,0,0,0,0
"12405",0,0,0,0,0,0,0,0,2,0,0,0
"54607",502,439,199,221,794,637,663,525,681,732,734,625
"246102",158,210,70,53,152,156,104,73,242,293,251,285
"225825",1,0,0,0,1,1,0,0,0,1,0,0
"623279",0,0,0,0,0,0,0,0,0,2,1,0
"67988",2201,1890,772,734,2072,1856,1119,1053,1917,1779,1747,1910
"70011",0,0,0,0,0,0,0,0,0,0,0,0
"20589",88,138,137,132,114,80,112,116,117,186,237,168
"353242",164,152,122,141,206,171,220,212,184,313,299,193
"12894",773,623,232,181,1267,1730,817,1434,1631,1746,2283,1231
"17771",7,3,3,1,8,11,3,1,15,2,11,9
"14419",42,37,1,0,159,422,4,1,304,17,24,149
"52036",3282,3054,1665,1692,4411,3634,3451,3098,3271,3371,3876,3258
"16973",4068,3932,1132,1101,5171,4405,1843,1367,5226,4362,5151,5743
"72056",690,559,204,202,919,757,225,227,787,458,504,774
"225888",1721,1793,721,695,1549,1402,1701,1725,1463,1822,2060,1723
"12660",13823,13531,14551,11486,11026,8999,37505,43732,10322,10725,11992,12046
"27060",547,556,1089,1132,1236,908,2010,1407,1128,2489,2829,1258
"225887",955,865,947,887,1180,1075,1044,878,721,1151,1105,1032
"67689",114,133,60,57,43,61,23,24,28,246,269,48
"54445",143,147,269,246,164,186,446,345,248,666,686,205
"73458",10,10,21,9,9,4,18,17,0,40,42,3
"621603",17,17,19,9,7,6,55,43,4,68,90,5
"71670",12,15,21,13,10,20,33,36,29,94,98,27
"109575",0,0,0,0,0,0,0,0,2,0,0,0
"66387",109,120,132,163,181,155,313,245,167,396,330,212
"60425",98,149,39,45,154,120,140,93,150,243,244,183
"17995",1524,1355,1960,1716,2417,2061,2264,2121,1605,2155,2311,2041
"14870",934,943,635,678,1229,1212,798,843,818,1096,964,1053
"14869",6,1,5,4,6,4,6,8,8,3,5,7
"225884",10,6,2,0,6,6,4,3,0,1,1,0
"29866",0,0,0,1,0,0,0,0,0,0,0,0
"52004",468,469,500,456,547,477,772,505,526,645,668,767
"18739",941,983,614,666,1358,1181,1767,1617,1216,1825,1931,1580
"11632",1338,1238,293,272,1208,1151,321,274,812,549,511,1116
"66990",798,822,513,560,717,701,946,801,668,1024,1067,725
"73660",6,7,1,0,2,11,4,2,3,6,7,7
"269053",14,8,1,0,15,24,3,1,8,3,4,9
"23789",1695,1747,1385,1581,1582,1467,3069,2930,1340,2345,2682,1699
"19265",20,29,2,6,18,19,13,10,19,13,16,18
"58988",331,364,330,305,431,318,640,598,326,653,728,480
"107239",36,18,9,15,34,32,42,47,46,92,93,70
"100502789",2,5,1,0,5,9,6,3,2,8,14,6
"108995",1,2,2,1,12,13,6,9,6,5,7,10
"19045",1935,1789,2880,2958,2630,2358,5125,4356,2546,5068,5469,2882
"19367",117,115,264,316,135,82,225,211,122,267,254,201
"100861918",1,1,0,0,1,1,0,1,2,5,3,2
"56708",269,224,5,8,337,349,54,43,401,154,240,386
"69745",180,172,62,57,152,167,115,109,154,200,231,129
"100861921",3,2,0,0,4,3,0,0,0,0,2,1
"245857",2105,2077,837,951,2186,1898,1675,1634,1900,2847,3101,2226
"68423",217,236,61,84,233,195,139,128,164,263,370,217
"110355",2214,2153,2660,2889,2392,2177,3210,2875,1896,3175,3641,2448
"225876",2652,2380,1247,1189,3338,2777,3638,3459,3307,3951,4289,3437
"11854",455,368,111,92,521,480,305,333,326,305,341,325
"319314",17,17,5,3,7,14,3,4,13,3,12,16
"171180",1356,986,261,225,2076,2168,312,375,1228,214,341,1260
"69861",7,3,24,15,22,16,37,40,4,24,36,2
"18563",568,610,19950,21445,754,481,8078,9090,266,1609,1939,302
"225875",1133,1215,124,191,2118,1581,1493,1591,1767,1190,1374,2100
"19671",632,578,345,411,931,837,784,749,819,851,858,974
"381196",6,6,0,8,4,2,5,6,4,15,15,2
"20743",27,33,472,376,119,60,1605,1609,45,1821,2081,71
"100861931",0,0,0,0,0,0,0,0,0,0,0,0
"66704",321,326,62,80,441,428,151,139,503,279,284,572
"19653",396,381,278,270,664,514,660,521,636,485,695,664
"56275",533,492,358,302,1028,791,684,491,802,626,820,957
"12460",243,258,160,165,214,275,326,358,333,501,554,388
"399599",0,1,0,0,0,0,0,0,1,2,0,0
"56464",583,602,70,76,748,883,88,127,905,236,241,503
"11474",12,6,3,2,8,7,3,1,17,11,5,12
"70605",173,172,268,245,144,158,309,240,130,287,283,126
"52028",149,183,21,12,96,73,39,33,113,96,100,120
"75221",1055,1018,957,1036,1043,1046,1336,1011,738,845,902,1073
"240518",113,152,7,7,57,51,26,19,71,37,39,74
"66419",227,208,301,285,308,288,519,436,261,605,560,338
"225872",162,122,0,1,46,90,0,0,21,0,1,21
"13340",79,89,45,38,162,98,124,107,139,150,133,209
"108902",447,477,146,177,434,398,140,154,333,196,143,465
"107392",105,91,208,236,144,102,614,588,172,673,699,231
"225870",486,475,18,23,368,262,134,182,462,514,538,869
"70445",281,294,3,4,352,280,4,3,90,13,24,169
"381199",7,15,12,3,20,16,15,10,12,23,26,23
"68090",379,378,647,594,473,454,894,711,321,630,625,405
"12794",22,24,11,8,92,64,9,18,70,35,79,87
"76308",2077,2066,2261,2360,2100,1998,3022,2731,1615,2559,2802,1959
"16594",711,706,249,263,762,620,477,477,565,543,562,817
"107975",1148,1125,370,402,1216,1124,1590,1531,1212,2121,2457,1271
"319322",2144,2361,1994,2025,2622,2414,3142,2682,2650,3837,4147,3322
"100861943",0,3,6,4,5,1,9,10,3,8,13,4
"545276",0,0,0,0,0,2,1,0,4,1,3,0
"225865",0,0,0,0,0,0,0,0,0,0,0,0
"73720",2,1,3,1,3,0,5,5,8,8,10,3
"23825",1208,958,828,715,1750,1672,1496,1148,1292,1747,1693,1773
"69860",259,281,374,408,643,472,749,575,751,873,923,731
"20227",904,970,487,510,1307,1082,1494,1538,1402,1757,1759,1784
"414115",2,4,4,1,0,4,11,5,8,8,6,6
"78306",0,1,0,0,0,0,0,0,1,0,0,0
"74931",2,1,0,0,3,1,1,2,1,0,0,0
"622178",0,0,0,0,0,0,0,0,0,0,0,0
"66556",2233,1945,551,537,2741,2535,1574,1410,2032,2058,2069,2406
"107242",652,643,92,70,911,711,717,638,942,870,1009,888
"14283",1409,1244,85,57,1581,1283,793,785,1829,1297,1615,1599
"240514",2609,2434,158,180,2643,2338,531,563,2355,817,882,2219
"58249",350,418,293,316,458,529,642,609,484,809,756,472
"13041",14,9,8,16,21,19,11,9,18,9,7,11
"58859",1087,1043,154,167,1231,1205,107,161,1094,649,720,1155
"71711",396,421,165,214,326,368,264,215,372,228,313,421
"12631",14714,12654,3212,3101,18903,16617,8358,8176,15132,10425,10870,17790
"225861",165,168,8,9,84,107,7,10,89,31,33,105
"75555",8,17,0,1,3,14,1,0,9,4,1,16
"18426",217,141,403,408,313,249,869,1112,619,1007,1125,547
"381201",48,46,90,99,111,59,76,63,113,186,203,123
"68209",230,223,379,308,269,217,488,389,312,595,503,352
"81601",662,692,295,266,874,790,1038,1032,980,1300,1336,1114
"19697",4692,4445,1603,1145,5817,4802,5141,4514,6558,6311,7176,6650
"20469",734,667,107,96,613,597,223,182,525,301,370,550
"104401",1797,1754,790,874,2337,2194,1934,1499,2303,2187,2424,2603
"26403",1067,1342,538,590,1108,857,2005,1846,1543,2110,2702,2069
"16530",54,44,2,1,35,38,1,3,37,14,17,65
"114601",6574,5869,277,346,5724,6053,319,422,2648,740,905,2671
"17826",779,781,271,252,910,783,931,875,876,889,830,1171
"56390",134,157,116,111,309,255,265,233,234,348,304,314
"100038547",0,1,0,0,2,7,0,0,5,3,5,2
"16998",4081,4421,1172,1250,4350,4857,2983,3075,9149,8679,10246,11073
"78891",1239,1279,1211,1151,1349,1312,1494,1469,1310,1562,1716,1520
"72289",5752,4985,3795,5309,5653,5896,9282,11286,4888,10849,8684,5547
"100502960",0,0,0,0,0,0,0,0,0,0,1,0
"66961",10794,12628,8163,9637,9312,6855,10242,11074,6416,19002,27052,9423
"69595",1,2,5,8,3,2,4,2,0,3,4,1
"67457",422,445,246,259,409,331,849,908,590,630,896,706
"107375",25,23,340,358,20,27,374,455,59,149,162,53
"332359",23,21,9,5,36,24,12,23,42,13,24,41
"19708",633,746,404,468,953,753,912,737,900,1184,1285,971
"104252",45,53,15,13,59,61,47,38,129,68,71,111
"18969",116,131,246,188,349,246,307,155,381,476,479,446
"381203",0,0,0,0,0,0,0,0,0,0,0,0
"12333",1684,1790,244,215,978,1266,497,497,847,1127,1338,1168
"100502985",3,11,1,1,6,6,1,0,5,8,6,11
"100503014",1,0,2,7,2,1,1,3,4,10,3,0
"74126",1116,1552,1815,1806,1760,1157,3207,2602,2080,1846,2404,3090
"18120",316,325,409,427,359,327,492,350,357,556,518,467
"14109",2834,2008,1491,1665,3629,3385,4418,3962,4252,5422,5731,3383
"29805",103,115,83,96,146,130,149,151,89,193,198,126
"73166",157,138,610,528,107,98,155,135,106,176,232,109
"68505",580,529,341,375,607,505,795,728,663,1026,1056,731
"433215",1,0,1,1,1,1,1,1,2,3,3,0
"81909",264,257,235,260,247,247,554,501,242,432,450,348
"67849",11,14,168,111,65,59,138,100,111,158,186,136
"381204",1,1,6,3,9,3,7,10,7,12,13,4
"66406",65,88,109,109,133,116,210,149,126,170,159,143
"69024",153,161,224,189,175,124,400,337,167,348,340,262
"56327",286,264,169,175,311,307,264,277,362,347,301,451
"74481",104,75,1,0,91,68,3,0,28,8,9,24
"622554",4,5,0,0,7,9,0,0,1,1,0,0
"170458",0,0,1,0,2,2,1,3,0,1,1,1
"225849",643,639,262,261,477,396,650,567,316,348,502,348
"100862017",0,0,0,0,0,0,0,0,0,0,0,0
"329015",608,718,696,627,966,646,2566,2443,933,2247,2848,1316
"723957",2,1,0,0,1,0,0,1,0,0,1,0
"387187",1,0,0,0,3,0,1,0,3,1,1,1
"13660",2171,1763,2732,2030,3116,2801,6186,6086,1659,4851,5664,1726
"100862023",2,0,1,0,1,0,1,0,1,0,2,0
"240505",5223,5631,1926,1922,2732,2868,2092,2052,3330,1927,2258,3646
"17283",262,317,314,351,405,323,602,518,589,690,879,719
"26412",837,873,287,312,1063,865,496,399,959,487,565,1128
"100503066",21,21,7,4,26,19,8,4,12,16,10,17
"22668",6058,5599,3122,2991,10292,8400,7803,6815,9150,8919,9697,10418
"19309",238,153,35,24,295,268,58,55,377,143,184,376
"19395",186,144,3,6,62,108,4,5,96,11,16,68
"18190",2,3,4,3,2,2,4,1,8,47,122,2
"100008567",0,0,0,4,2,3,0,0,2,10,19,0
"20521",0,0,0,0,0,0,0,0,0,0,1,0
"56613",656,638,232,265,618,613,519,492,515,466,586,594
"100502687",0,0,0,0,0,0,0,0,0,0,0,0
"100628576",0,0,0,0,0,0,0,0,0,0,0,0
"78317",10,5,412,481,34,30,620,510,18,148,202,10
"54683",1318,1144,1495,1455,1851,1762,1661,1631,1031,1940,2598,1102
"67674",363,367,117,152,466,353,300,242,445,404,396,498
"26379",394,346,795,878,423,322,1256,1132,266,501,559,361
"67077",52,58,1,2,110,83,1,7,62,5,17,37
"16528",39,37,3,2,35,35,2,3,27,3,1,24
"107173",502,520,221,220,453,490,280,284,320,562,569,467
"12015",362,361,275,260,360,346,414,331,260,356,399,380
"18797",1253,1207,723,687,1743,1316,1440,1359,1485,2107,2309,1695
"18938",129,126,223,219,492,310,891,717,477,863,859,571
"14227",484,468,810,762,585,506,660,650,417,729,756,579
"22340",396,382,134,121,417,381,336,238,279,274,310,354
"57431",360,365,214,220,351,329,271,223,244,400,357,328
"68323",270,222,262,285,276,241,283,222,222,194,189,310
"107328",108,102,58,74,104,85,75,61,82,116,112,109
"108101",71,60,31,29,93,76,63,84,78,60,82,53
"20867",2844,2264,1558,1518,4115,3525,2898,2249,3857,3632,4217,4213
"107227",311,340,226,225,272,320,630,534,368,374,534,371
"70494",5,11,2,2,13,13,0,0,15,3,3,19
"396184",38,40,3,1,57,31,4,1,30,3,6,33
"107260",652,624,410,359,843,725,941,864,732,1230,1332,890
"12868",1915,1870,3921,3963,3789,3460,4342,3864,2184,3560,4016,2417
"100861619",3,0,2,1,2,4,1,1,4,5,3,5
"70999",67,94,478,499,162,86,539,435,209,763,893,237
"104383",4,13,34,56,21,9,49,48,16,121,144,22
"13728",1373,1271,1159,1184,1813,1860,2072,2017,1489,2476,2935,1692
"100503986",0,0,1,0,1,0,0,0,0,0,1,0
"68229",2059,2003,209,209,1715,1697,852,778,1529,990,1274,1769
